scenario,method,method_label,training_scope,manifest_exists,expected_runs,completed_full_result_runs,validated_full_result_runs,metrics_json_count,predictions_npz_count,status,notes
cifar10_x,fedgda_d,FedGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_x,fedgda_s,FedGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_x,fedogda_d,FedOGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_x,fedogda_s,FedOGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_xz,fedgda_d,FedGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_xz,fedgda_s,FedGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_xz,fedogda_d,FedOGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_xz,fedogda_s,FedOGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_z,fedgda_d,FedGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_z,fedgda_s,FedGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_z,fedogda_d,FedOGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
cifar10_z,fedogda_s,FedOGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_x,fedgda_d,FedGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_x,fedgda_s,FedGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_x,fedogda_d,FedOGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_x,fedogda_s,FedOGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_xz,fedgda_d,FedGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_xz,fedgda_s,FedGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_xz,fedogda_d,FedOGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_xz,fedogda_s,FedOGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_z,fedgda_d,FedGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_z,fedgda_s,FedGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_z,fedogda_d,FedOGDA-D,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_z,fedogda_s,FedOGDA-S,federated,True,3,0,0,0,0,pending_blocked_gpu_permissions,"manifest/data certification and smokes exist, but full validated high-dimensional result artifacts are not complete; execution_status.md records GPU-permission block."
femnist_x,gda,DeepGMM-GDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
femnist_x,sgda,DeepGMM-SGDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
femnist_x,oadam,DeepGMM-OAdam,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
femnist_z,gda,DeepGMM-GDA,centralized,False,0,0,0,0,0,not_launched_no_validated_artifacts_found,no high-dimensional centralized manifest or validated result artifacts found in this repo snapshot.
